,Listing Type,Address,Prices,Lat,Lon,Zip,Sq Ft,Beds,Baths,Price per Square Foot
4255,For Sale,"6426 Wolff St in Northridge, Arvada, 80003",505000.0,39.813439,-105.048181,80003.0,2930.0,4.0,2,172.35494880546077
4256,For Sale,"7724 Newland St in Highlands, Arvada, 80003",414900.0,39.836815,-105.069774,80003.0,2323.0,4.0,2,178.60525182953077
4257,For Sale,"8260 Jay Ct in Lake Arbor, Arvada, 80003",519000.0,39.846237,-105.064356,80003.0,3304.0,5.0,3,157.08232445520582
4258,For Sale,"6146 Raleigh St in Berkley, Arvada, 80003",419500.0,39.808976,-105.041387,80003.0,3118.0,3.0,3,134.54137267479155
4259,For Sale,"6942 Vance St in Lamar Heights, Arvada, 80003",355000.0,39.822996,-105.079345,80003.0,1568.0,3.0,2,226.4030612244898
4260,For Sale,"6926 Quay Ct in Lamar Heights, Arvada, 80003",515000.0,39.822158,-105.074573,80003.0,2586.0,5.0,2,199.1492652745553
4261,For Sale,"8793 Chase Dr Apt 226, Arvada, 80003",298400.0,39.855542,-105.075986,80003.0,1099.0,2.0,2,271.51956323930847
4262,For Sale,"7483 Saulsbury St in Highlands, Arvada, 80003",335000.0,39.832709,-105.075638,80003.0,1854.0,4.0,2,180.69039913700107
4263,For Sale,"5867 W 74th Pl in Southeast Westminster, Arvada, 80003",395000.0,39.832322,-105.061066,80003.0,1520.0,3.0,2,259.86842105263156
4264,For Sale,"8229 Harlan Ct in Lake Arbor, Arvada, 80003",259900.0,39.845023,-105.063624,80003.0,2085.0,3.0,3,124.65227817745803
4265,For Sale,"5550 W 80th Pl Apt 1 in Lake Arbor, Arvada, 80003",229000.0,39.842526,-105.05801,80003.0,844.0,2.0,1,271.3270142180095
4266,For Sale,"6811 W 68th Pl in Lamar Heights, Arvada, 80003",412000.0,39.821336,-105.072242,80003.0,2424.0,3.0,3,169.96699669966998
4267,For Sale,"6103 Marshall St in Lamar Heights, Arvada, 80003",375000.0,39.807739,-105.06859,80003.0,1960.0,3.0,2,191.3265306122449
4268,For Sale,"6437 Wolff St in Northridge, Arvada, 80003",420000.0,39.813641,-105.048698,80003.0,2496.0,4.0,3,168.26923076923077
4269,For Sale,"7953 Chase Cir Apt 199 in Southeast Westminster, Arvada, 80003",225000.0,39.839645,-105.058188,80003.0,824.0,2.0,1,273.05825242718447
4270,For Sale,"8539 Fenton St in Far Horizons, Arvada, 80003",380000.0,39.852559,-105.06026,80003.0,1540.0,4.0,2,246.75324675324674
4271,For Sale,"8429 Ames St in Far Horizons, Arvada, 80003",370000.0,39.850261,-105.055282,80003.0,1896.0,4.0,2,195.1476793248945
4272,For Sale,"6404 Benton St in Lamar Heights, Arvada, 80003",725000.0,39.813544,-105.055255,80003.0,1585.0,3.0,2,457.41324921135646
4273,For Sale,"7241 Otis Ct in Southeast Westminster, Arvada, 80003",483000.0,39.827824,-105.071759,80003.0,2530.0,3.0,3,190.9090909090909
4274,For Sale,"8418 Fenton St in Far Horizons, Arvada, 80003",336000.0,39.850065,-105.05968,80003.0,912.0,3.0,1,368.42105263157896
4276,For Sale,"5855 N Vance St Unit 102 in Olde Town Arvada Area, Arvada, 80003",360000.0,39.802653,-105.07954,80003.0,1382.0,3.0,2,260.49204052098406
4277,For Sale,"7163 Depew Cir in Southeast Westminster, Arvada, 80003",310000.0,39.825489,-105.058733,80003.0,1343.0,2.0,3,230.8265078183172
4278,For Sale,"5864 W 75th Ave in Southeast Westminster, Arvada, 80003",395000.0,39.83261,-105.060957,80003.0,1566.0,3.0,2,252.23499361430396
4279,For Sale,"8503 Chase Dr Apt 331, Arvada, 80003",260000.0,39.851971,-105.072165,80003.0,1040.0,2.0,2,250.0
4280,For Sale,"7700 Depew St Apt 1502 in Southeast Westminster, Arvada, 80003",220000.0,39.836522,-105.056268,80003.0,892.0,2.0,1,246.63677130044843
4281,For Sale,"8168 Benton Way in Far Horizons, Arvada, 80003",419000.0,39.845094,-105.057305,80003.0,2589.0,5.0,2,161.83854770181537
4282,For Sale,"6705 Sheridan Blvd Unit B in Lamar Heights, Arvada, 80003",395000.0,39.818965,-105.05406,80003.0,1928.0,3.0,3,204.87551867219918
